"provider","object_type","current_schema","current_relation","current_column","current_data_type","new_schema","new_relation","new_column","new_data_type","change_type","notes"
"sqlserver","view_column","dbo","NotificationUserSearch","AlertField","nvarchar","dbo","notification_user_search","alert_field","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","AlertType","int","dbo","notification_user_search","alert_type","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","ClosedDate","datetime2","dbo","notification_user_search","closed_date","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","ContractId","uniqueidentifier","dbo","notification_user_search","contract_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","ContractNumber","nvarchar","dbo","notification_user_search","contract_number","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","FleetNr","nvarchar","dbo","notification_user_search","fleet_row_count","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","Id","uniqueidentifier","dbo","notification_user_search","id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","LastDataTime","datetime2","dbo","notification_user_search","last_data_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","Level","float","dbo","notification_user_search","level","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","LimitOn","float","dbo","notification_user_search","limit_on","float","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","MonitorId","uniqueidentifier","dbo","notification_user_search","monitor_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","NotificationTime","datetime2","dbo","notification_user_search","notification_time","datetime2","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","SerialId","nvarchar","dbo","notification_user_search","serial_id","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","SiteiD","uniqueidentifier","dbo","notification_user_search","site_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","SiteName","nvarchar","dbo","notification_user_search","site_name","nvarchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","TypeOfMonitor","int","dbo","notification_user_search","type_of_monitor","int","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","view_column","dbo","NotificationUserSearch","UserId","uniqueidentifier","dbo","notification_user_search","user_id","uniqueidentifier","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table","dbo","OmnidotsErrorMessages","","","dbo","omnidots_error_message","","","rename_relation","relation_not_lowercase"
"sqlserver","table_column","dbo","OmnidotsErrorMessages","Error","varchar","dbo","omnidots_error_message","error","varchar","rename_column","relation_not_lowercase;column_not_lowercase"
"sqlserver","table_column","dbo","OmnidotsErrorMessages","ErrorTime","datetime","dbo","omnidots_error_message","error_time","datetime","rename_column","relation_not_lowercase;column_not_lowercase"
