provider,object_type,current_schema,current_relation,current_object,current_columns,new_schema,new_relation,new_object,new_columns,change_type,notes
sqlserver,primary_key,dbo,HelpArticles,PK_HelpArticles,Id,dbo,help_article,pk_help_article,id,rename_object,
sqlserver,foreign_key,dbo,HelpAssets,FK_HelpAssets_HelpArticles_HelpArticleId,HelpArticleId,dbo,help_asset,fk_help_asset_help_article_id,help_article_id,rename_object,
sqlserver,index,dbo,HelpAssets,IX_HelpAssets_HelpArticleId,HelpArticleId,dbo,help_asset,ix_help_asset_help_article_id,help_article_id,rename_object,
sqlserver,primary_key,dbo,HelpAssets,PK_HelpAssets,Id,dbo,help_asset,pk_help_asset,id,rename_object,
sqlserver,index,dbo,HelpSections,IX_HelpSections_Slug,Slug,dbo,help_section,ix_help_section_slug,slug,rename_object,
sqlserver,primary_key,dbo,HelpSections,PK_HelpSections,Id,dbo,help_section,pk_help_section,id,rename_object,
sqlserver,default_constraint,dbo,MonitorsList,DF_MonitorsList_BatteryStatus,BatteryStatus,dbo,monitor,df_monitor_battery_status,battery_status,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,default_constraint,dbo,MonitorsList,DF_MonitorsList_Offline,Offline,dbo,monitor,df_monitor_offline,offline,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,MonitorsList,PK_MonitorsList,Id,dbo,monitor,pk_monitor,id,rename_object,
sqlserver,foreign_key,dbo,NotificationSettings,FK_NotificationSettings_SiteUsers,SiteUserId,dbo,notification_setting,fk_notification_setting_site_user_id,site_user_id,rename_object,
sqlserver,primary_key,dbo,NotificationSettings,PK_NotificationSettings,Id,dbo,notification_setting,pk_notification_setting,id,rename_object,
sqlserver,default_constraint,dbo,Notifications,DF__Notificat__Avera__17036CC0,AveragingPeriod,dbo,notification,df_notification_averaging_period,averaging_period,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,default_constraint,dbo,Notifications,DF__Notificat__Level__17F790F9,Level,dbo,notification,df_notification_level,level,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,Notifications,PK_Notifications,Id,dbo,notification,pk_notification,id,rename_object,
sqlserver,primary_key,dbo,NotificationsSent,PK_NotificationsSent,Id,dbo,notification_sent,pk_notification_sent,id,rename_object,
sqlserver,default_constraint,dbo,OmnidotsMonitorStatus,DF__OmnidotsMoni__Id__18EBB532,Id,dbo,omnidots_monitor_status,df_omnidots_monitor_status_id,id,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,OmnidotsMonitorStatus,PK__Omnidots__3214EC0736C6B626,Id,dbo,omnidots_monitor_status,pk_omnidots_monitor_status,id,rename_object,
sqlserver,index,dbo,OmnidotsPeakLevels,IX_OmnidotsPeakLevels_SerialId_SampleTimeDesc,SerialId|SampleTime,dbo,omnidots_peak_level,ix_omnidots_peak_level_serial_id_sample_time,serial_id|sample_time,rename_object,
sqlserver,index,dbo,OmnidotsPeakLevels,_dta_index_OmnidotsPeakLevels_25_1957582012__K2_K1_3_4_5_6_7_8_9_10_11,SampleTime|SerialId,dbo,omnidots_peak_level,ix_omnidots_peak_level_sample_time_serial_id,sample_time|serial_id,rename_object,
sqlserver,default_constraint,dbo,OmnidotsSensors,DF__OmnidotsSens__Id__19DFD96B,Id,dbo,omnidots_sensor,df_omnidots_sensor_id,id,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,OmnidotsSensors,PK__Omnidots__3214EC0704E3BD04,Id,dbo,omnidots_sensor,pk_omnidots_sensor,id,rename_object,
sqlserver,foreign_key,dbo,OmnidotsTraces,FK__OmnidotsT__Trace__2DE6D218,TraceId,dbo,omnidots_trace,fk_omnidots_trace_omnidots_trace_index_id,omnidots_trace_index_id,rename_object,
sqlserver,default_constraint,dbo,OmnidotsTracesIndex,DF__OmnidotsTrac__Id__1AD3FDA4,Id,dbo,omnidots_trace_index,df_omnidots_trace_index_id,id,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,OmnidotsTracesIndex,PK__Omnidots__3214EC071EF1F55E,Id,dbo,omnidots_trace_index,pk_omnidots_trace_index,id,rename_object,
sqlserver,primary_key,dbo,ReportRules,PK_ReportConfig,Id,dbo,report_rule,pk_report_rule,id,rename_object,
sqlserver,primary_key,dbo,ReportUsers,PK_ReportUsers,Id,dbo,report_user,pk_report_user,id,rename_object,
sqlserver,primary_key,dbo,Reports,PK_Reports,Id,dbo,report,pk_report,id,rename_object,
sqlserver,primary_key,dbo,ReportsSent,PK_ReportsSent,Id,dbo,report_sent,pk_report_sent,id,rename_object,
sqlserver,default_constraint,dbo,RvtAlertRules,DF__RvtAlertR__Creat__1CBC4616,CreatedAt,dbo,rvt_alert_rule,df_rvt_alert_rule_created_at,created_at,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,default_constraint,dbo,RvtAlertRules,DF__RvtAlertR__IsDel__1BC821DD,IsDeleted,dbo,rvt_alert_rule,df_rvt_alert_rule_is_deleted,is_deleted,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,foreign_key,dbo,RvtAlertRules,FK_RvtAlertRules_MonitorsList_MonitorId,MonitorId,dbo,rvt_alert_rule,fk_rvt_alert_rule_monitor_id,monitor_id,rename_object,
sqlserver,primary_key,dbo,RvtAlertRules,PK_RvtAlertRules,Id,dbo,rvt_alert_rule,pk_rvt_alert_rule,id,rename_object,
sqlserver,foreign_key,dbo,SiteArchived,FK_SiteArchived_Sites_SiteId,SiteId,dbo,site_archived,fk_site_archived_site_id,site_id,rename_object,
sqlserver,primary_key,dbo,SiteArchived,PK_SiteArchived,Id,dbo,site_archived,pk_site_archived,id,rename_object,
sqlserver,default_constraint,dbo,SiteAverages,DF__SiteAverages__Id__1DB06A4F,Id,dbo,site_average,df_site_average_id,id,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,SiteAverages,PK__SiteAver__3214EC076B98609D,Id,dbo,site_average,pk_site_average,id,rename_object,
sqlserver,default_constraint,dbo,SiteOperatingHours,DF__SiteOpera__IsClo__625A9A57,IsClosed,dbo,site_operating_hour,df_site_operating_hour_is_closed,is_closed,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,foreign_key,dbo,SiteOperatingHours,FK_SiteOperatingHours_Sites_SiteId,SiteId,dbo,site_operating_hour,fk_site_operating_hour_site_id,site_id,rename_object,
sqlserver,index,dbo,SiteOperatingHours,IX_SiteOperatingHours_SiteId_DayOfWeek,SiteId|DayOfWeek,dbo,site_operating_hour,ix_site_operating_hour_site_id_day_of_week,site_id|day_of_week,rename_object,
sqlserver,primary_key,dbo,SiteOperatingHours,PK_SiteOperatingHours,Id,dbo,site_operating_hour,pk_site_operating_hour,id,rename_object,
sqlserver,default_constraint,dbo,SiteUsers,DF_SiteUsers_SiteContact,SiteContact,dbo,site_user,df_site_user_site_contact,site_contact,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,foreign_key,dbo,SiteUsers,FK_SiteUsers_Sites_SiteId,SiteId,dbo,site_user,fk_site_user_site_id,site_id,rename_object,
sqlserver,primary_key,dbo,SiteUsers,PK_SiteUsers,Id,dbo,site_user,pk_site_user,id,rename_object,
sqlserver,default_constraint,dbo,Sites,DF_Sites_Archived,Archived,dbo,site,df_site_archived,archived,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,Sites,PK_Sites,Id,dbo,site,pk_site,id,rename_object,
sqlserver,default_constraint,dbo,SvantekMonitorStatus,DF_SvantekMonitorStatus_ErrorCount,ErrorCount,dbo,svantek_monitor_status,df_svantek_monitor_status_error_count,error_count,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,default_constraint,dbo,UserActionsHistory,DF_UserActionsHistory_Timestamp,Timestamp,dbo,user_action_history,df_user_action_history_recorded_at,recorded_at,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,default_constraint,dbo,UserActionsHistory,DF__UserActionsH__ID__2180FB33,ID,dbo,user_action_history,df_user_action_history_id,id,rename_object,manual_sqlserver_default_constraint_coverage
sqlserver,primary_key,dbo,UserActionsHistory,PK__UserActi__3214EC27FF1B54AC,ID,dbo,user_action_history,pk_user_action_history,id,rename_object,
postgres,index,public,my_atm_dust_level,,,public,my_atm_dust_level,ix_my_atm_dust_level_serial_id_avrg_sample_time,serial_id|avrg|sample_time,create_object,performance_index_20260609
postgres,index,public,air_q_noise_level,,,public,air_q_noise_level,ix_air_q_noise_level_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
postgres,index,public,svantek_noise_level,,,public,svantek_noise_level,ix_svantek_noise_level_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
postgres,index,public,air_q_noise_8_hour_average,,,public,air_q_noise_8_hour_average,ix_air_q_noise_8_hour_average_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
postgres,index,public,svantek_noise_8_hour_average,,,public,svantek_noise_8_hour_average,ix_svantek_noise_8_hour_average_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
postgres,index,public,site_average,,,public,site_average,ix_site_average_monitor_id_collection_time,monitor_id|collection_time,create_object,performance_index_20260609
postgres,index,public,omnidots_trace,,,public,omnidots_trace,ix_omnidots_trace_omnidots_trace_index_id,omnidots_trace_index_id,create_object,performance_index_20260609
postgres,index,public,omnidots_trace_index,,,public,omnidots_trace_index,ix_omnidots_trace_index_serial_id_start_time,serial_id|start_time,create_object,performance_index_20260609
postgres,index,public,monitor,,,public,monitor,ix_monitor_serial_id,serial_id,create_object,performance_index_20260609
postgres,index,public,monitor,,,public,monitor,ix_monitor_fleet_row_count,fleet_row_count,create_object,performance_index_20260609
postgres,index,public,omnidots_sensor,,,public,omnidots_sensor,ix_omnidots_sensor_serial_id_lastseen,serial_id|lastseen,create_object,performance_index_20260609
postgres,index,public,omnidots_monitor_status,,,public,omnidots_monitor_status,ix_omnidots_monitor_status_serial_id,serial_id,create_object,performance_index_20260609
